cell_type,concentration,n_distinguishable,top_markers
4,0.002598526445218819,0,"[80, 504, 1115, 309, 123, 840, 126, 131, 411, 129]"
4,0.003034555606472433,0,"[242, 126, 839, 133, 309, 1031, 131, 840, 411, 129]"
4,0.0035437498608938797,0,"[128, 1031, 133, 126, 309, 840, 123, 131, 129, 411]"
4,0.004138386210422373,0,"[839, 1031, 286, 840, 123, 309, 126, 131, 411, 129]"
4,0.0048328017210261245,0,"[839, 1031, 133, 123, 126, 309, 840, 131, 411, 129]"
4,0.005643739198611264,0,"[128, 985, 309, 133, 126, 123, 840, 129, 131, 411]"
4,0.006590750868872473,0,"[839, 1031, 133, 123, 126, 309, 840, 131, 129, 411]"
4,0.007696669794067008,3,"[839, 1031, 123, 133, 309, 126, 840, 131, 411, 129]"
4,0.008988160392874619,4,"[839, 985, 133, 309, 123, 840, 126, 131, 129, 411]"
4,0.010496361336732254,5,"[839, 985, 123, 133, 309, 126, 840, 131, 129, 411]"
4,0.012257636323289026,11,"[839, 1031, 133, 123, 126, 309, 840, 131, 411, 129]"
4,0.014314450828613578,13,"[985, 1031, 133, 123, 126, 309, 840, 131, 129, 411]"
4,0.01671639597721523,18,"[128, 1031, 309, 133, 123, 126, 840, 131, 129, 411]"
4,0.019521384216045566,30,"[839, 1031, 133, 123, 840, 126, 309, 131, 411, 129]"
4,0.022797045620951938,41,"[839, 1031, 133, 126, 123, 309, 840, 131, 129, 411]"
4,0.026622358501432165,51,"[128, 1031, 133, 309, 126, 123, 840, 131, 129, 411]"
4,0.031089553618622864,62,"[839, 1031, 133, 123, 126, 309, 840, 131, 129, 411]"
4,0.03630633792844572,70,"[839, 1031, 133, 309, 123, 840, 126, 131, 411, 129]"
4,0.042398491465793026,72,"[839, 1031, 133, 309, 123, 126, 840, 131, 129, 411]"
4,0.04951289998230568,74,"[839, 1031, 133, 126, 309, 123, 840, 131, 129, 411]"
4,0.05782109645659659,74,"[839, 1031, 133, 123, 126, 309, 840, 131, 129, 411]"
4,0.06752339686501559,74,"[1031, 839, 133, 309, 123, 840, 126, 131, 411, 129]"
4,0.0788537299290565,76,"[1031, 839, 133, 309, 126, 123, 840, 131, 129, 411]"
4,0.09208527728773268,79,"[839, 1031, 133, 123, 309, 126, 840, 131, 129, 411]"
4,0.10753706008311428,92,"[985, 1031, 133, 123, 126, 309, 840, 131, 129, 411]"
4,0.12558163076585405,94,"[839, 1031, 133, 309, 123, 840, 126, 131, 129, 411]"
4,0.14665405557509434,101,"[839, 1031, 133, 309, 123, 840, 126, 131, 129, 411]"
4,0.17126240426614048,108,"[839, 1031, 133, 123, 126, 309, 840, 131, 129, 411]"
4,0.20000000000000004,141,"[1031, 839, 133, 123, 309, 126, 840, 131, 411, 129]"
5,0.0001,1,"[29, 941, 238, 803, 263, 1096, 915, 903, 511, 776]"
5,0.0001167798623737652,1,"[309, 358, 128, 744, 131, 123, 122, 125, 145, 776]"
5,0.0001363753625603554,1,"[416, 534, 405, 1008, 1094, 861, 191, 1115, 92, 776]"
5,0.00015925896070970654,1,"[766, 1071, 1096, 90, 37, 519, 425, 1015, 149, 776]"
5,0.00018598239513468407,1,"[468, 320, 189, 179, 807, 473, 662, 169, 145, 776]"
5,0.00021718998507771627,1,"[270, 551, 330, 161, 1052, 214, 744, 358, 145, 776]"
5,0.0002536341656633582,1,"[815, 1056, 658, 455, 270, 193, 589, 901, 253, 776]"
5,0.00029619362959451735,1,"[707, 551, 609, 161, 1052, 214, 744, 358, 145, 776]"
5,0.00034589451300033727,1,"[122, 123, 551, 125, 214, 161, 358, 744, 145, 776]"
5,0.00040393513624019926,1,"[707, 270, 744, 551, 161, 1052, 358, 214, 145, 776]"
5,0.0004717148961805861,1,"[253, 551, 161, 358, 214, 270, 1052, 744, 145, 776]"
5,0.0005508680065562379,1,"[609, 270, 1052, 551, 161, 214, 744, 358, 145, 776]"
5,0.0006433028999174784,1,"[253, 551, 270, 161, 1052, 744, 214, 358, 145, 776]"
5,0.0007512482411700718,1,"[253, 161, 270, 551, 214, 1052, 744, 358, 145, 776]"
5,0.0008773066621237416,1,"[253, 551, 270, 161, 744, 1052, 358, 214, 145, 776]"
5,0.0010245175126239797,1,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
5,0.0011964301412374049,1,"[71, 270, 161, 551, 1052, 744, 214, 358, 145, 776]"
5,0.0013971894723352873,1,"[253, 270, 161, 551, 1052, 214, 744, 358, 145, 776]"
5,0.001631635942893885,2,"[253, 270, 551, 161, 744, 1052, 214, 358, 145, 776]"
5,0.0019054222085523648,6,"[253, 270, 161, 551, 744, 1052, 214, 358, 145, 776]"
5,0.002225149432786609,6,"[253, 270, 161, 551, 744, 214, 1052, 358, 145, 776]"
5,0.002598526445218819,7,"[253, 270, 161, 551, 1052, 744, 214, 358, 145, 776]"
5,0.003034555606472433,11,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
5,0.0035437498608938797,14,"[253, 270, 161, 551, 1052, 214, 744, 358, 145, 776]"
5,0.004138386210422373,18,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
5,0.0048328017210261245,29,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
5,0.005643739198611264,34,"[253, 270, 161, 551, 1052, 214, 744, 358, 145, 776]"
5,0.006590750868872473,47,"[253, 270, 551, 161, 1052, 744, 214, 358, 145, 776]"
5,0.007696669794067008,51,"[253, 270, 161, 551, 1052, 214, 744, 358, 145, 776]"
5,0.008988160392874619,54,"[253, 270, 161, 551, 1052, 214, 744, 358, 145, 776]"
5,0.010496361336732254,68,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
5,0.012257636323289026,71,"[253, 270, 161, 551, 1052, 744, 214, 358, 145, 776]"
5,0.014314450828613578,75,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
5,0.01671639597721523,78,"[253, 270, 161, 551, 1052, 744, 214, 358, 145, 776]"
5,0.019521384216045566,79,"[253, 270, 161, 551, 1052, 214, 744, 358, 145, 776]"
5,0.022797045620951938,80,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
5,0.026622358501432165,82,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
5,0.031089553618622864,82,"[253, 270, 551, 161, 1052, 214, 744, 358, 145, 776]"
